Series,Episode,Contestant,Result,Final Review,Winner,Eliminated,Technical_Rank
8,3,Marc,SB,1,1,,2.0
8,4,Marc,SAFE,,,,6.0
8,5,Marc,LOW,-1,,,7.0
8,6,Marc,HIGH,1,,,6.0
8,7,Marc,HIGH,1,,,3.0
8,8,Marc,OUT,-1,,1,2.0
8,1,Lottie,SAFE,,,,4.0
8,2,Lottie,SAFE,,,,8.0
8,3,Lottie,SAFE,,,,5.0
8,4,Lottie,LOW,-1,,,9.0
8,5,Lottie,SAFE,,,,4.0
8,6,Lottie,SB,1,1,,2.0
8,7,Lottie,OUT,-1,,1,5.0
8,1,Mark,SAFE,,,,7.0
8,2,Mark,HIGH,1,,,2.0
8,3,Mark,SAFE,,,,3.0
8,4,Mark,SB,1,1,,3.0
8,5,Mark,LOW,-1,,,3.0
8,6,Mark,OUT,-1,,1,5.0
8,1,Linda,LOW,-1,,,12.0
8,2,Linda,SAFE,,,,4.0
8,3,Linda,SAFE,,,,1.0
8,4,Linda,SAFE,,,,1.0
8,5,Linda,OUT,-1,,1,8.0
8,1,Sura,HIGH,1,,,1.0
8,2,Sura,SAFE,,,,6.0
8,3,Sura,HIGH,1,,,8.0
8,4,Sura,OUT,-1,,1,7.0
8,1,Rowan,SAFE,,,,3.0
8,2,Rowan,LOW,-1,,,11.0
8,3,Rowan,OUT,-1,,1,10.0
8,1,Mak,SAFE,,,,8.0
8,2,Mak,OUT,-1,,1,3.0
8,1,Loriea,OUT,-1,,1,10.0
9,1,Giuseppe,HIGH,1,,,10.0
9,2,Giuseppe,HIGH,1,,,2.0
9,3,Giuseppe,SB,1,1,,1.0
9,4,Giuseppe,HIGH,1,,,4.0
9,5,Giuseppe,SB,1,1,,1.0
9,6,Giuseppe,HIGH,1,,,4.0
9,7,Giuseppe,HIGH,1,,,1.0
9,8,Giuseppe,SAFE,,,,2.0
9,9,Giuseppe,LOW,-1,,,2.0
9,10,Giuseppe,WINNER,,1,,3.0
9,1,Chigs,SAFE,,,,11.0
9,2,Chigs,HIGH,1,,,7.0
9,3,Chigs,SAFE,,,,6.0
9,4,Chigs,SB,1,1,,3.0
9,5,Chigs,SAFE,,,,2.0
9,6,Chigs,SAFE,,,,3.0
9,7,Chigs,HIGH,1,,,3.0
9,8,Chigs,SB,1,1,,1.0
9,9,Chigs,HIGH,1,,,4.0
9,10,Chigs,RUNNER-UP,,,,2.0
9,1,Crystelle,HIGH,1,,,8.0
9,2,Crystelle,SAFE,,,,10.0
9,3,Crystelle,SAFE,,,,9.0
9,4,Crystelle,SAFE,,,,5.0
9,5,Crystelle,HIGH,1,,,7.0
9,6,Crystelle,SB,1,1,,2.0
9,7,Crystelle,HIGH,1,,,4.0
9,8,Crystelle,LOW,-1,,,5.0
9,9,Crystelle,SB,1,1,,3.0
9,10,Crystelle,RUNNER-UP,,,,1.0
9,1,Jürgen,SB,1,1,,6.0
9,2,Jürgen,SB,1,1,,1.0
9,3,Jürgen,SAFE,,,,5.0
9,4,Jürgen,HIGH,1,,,1.0
9,5,Jürgen,HIGH,1,,,4.0
9,6,Jürgen,SAFE,,,,1.0
9,7,Jürgen,SB,1,1,,2.0
9,8,Jürgen,HIGH,1,,,4.0
9,9,Jürgen,OUT,-1,,1,1.0
9,1,Lizzie,SAFE,,,,4.0
9,2,Lizzie,SAFE,,,,6.0
9,3,Lizzie,HIGH,1,,,2.0
9,4,Lizzie,SAFE,,,,2.0
9,5,Lizzie,SAFE,,,,3.0
9,6,Lizzie,SAFE,,,,7.0
9,7,Lizzie,LOW,-1,,,5.0
9,8,Lizzie,OUT,-1,,1,3.0
